system_name,from_package_name,total_duration,out_of_date_duration,ratio,avg_total_duration,avg_out_of_date_duration,avg_ratio
NPM,borc,16428,4828,0.29388848307767226686,2346.8571428571428571,689.7142857142857143,0.29388848307767226687
NPM,@ckeditor/ckeditor5-react,2203,0,0.00000000000000000000,2203.0000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,cozy-ical,22601,19397,0.85823636122295473652,2260.1000000000000000,1939.7000000000000000,0.85823636122295473652
NPM,gulp-filter,13380,3340,0.24962630792227204783,1115.0000000000000000,278.3333333333333333,0.24962630792227204780
NPM,gekko,10767,5940,0.55168570632488158261,978.8181818181818182,540.0000000000000000,0.55168570632488158260
NPM,3d-view-controls,18995,0,0.000000000000000000000000,3165.8333333333333333,0.00000000000000000000,0.00000000000000000000
NPM,find-config,3390,1476,0.43539823008849557522,3390.0000000000000000,1476.0000000000000000,0.43539823008849557522
NPM,bluebird-lru-cache,10897,6005,0.55106910158759291548,2724.2500000000000000,1501.2500000000000000,0.55106910158759291548
NPM,cx,4979,2488,0.49969873468567985539,2489.5000000000000000,1244.0000000000000000,0.49969873468567985539
NPM,hidden-markov-model-tf,15327,3793,0.24747178182292686109,1915.8750000000000000,474.1250000000000000,0.24747178182292686109
NPM,appium-chromedriver,46905,5553,0.11838823153181963543,1421.3636363636363636,168.2727272727272727,0.11838823153181963542
NPM,key-encoder,11750,5277,0.44910638297872340426,2350.0000000000000000,1055.4000000000000000,0.44910638297872340426
NPM,cornerstone-tools,5272,2951,0.55974962063732928680,753.1428571428571429,421.5714285714285714,0.55974962063732928673
NPM,@ctx-core/auth0-management,8701,43,0.00494196069417308355,580.0666666666666667,2.8666666666666667,0.00494196069417308361
NPM,ember-diff-attrs,3393,1453,0.42823460064839375184,1696.5000000000000000,726.5000000000000000,0.42823460064839375184
NPM,cloudflare4,24804,11338,0.45710369295274955652,2756.0000000000000000,1259.7777777777777778,0.45710369295274955653
NPM,@react-native-community/blur,1208,0,0.00000000000000000000,1208.0000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,babel-plugin-transform-react-remove-prop-types,280,0,0.00000000000000000000,140.0000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,bisheng,132348,51115,0.38621664097681869012,1741.4210526315789474,672.5657894736842105,0.38621664097681869010
NPM,@polymer/paper-ripple,5005,0,0.00000000000000000000,2502.5000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,@lhncbc/ucum-lhc,20064,12747,0.63531698564593301435,1433.1428571428571429,910.5000000000000000,0.63531698564593301434
NPM,jssoup,7343,1575,0.21448999046711153480,1049.0000000000000000,225.0000000000000000,0.21448999046711153480
NPM,angular-cookie,436,226,0.51834862385321100917,54.5000000000000000,28.2500000000000000,0.51834862385321100917
NPM,keystone,293303,74555,0.25419105839353842272,2309.4724409448818898,587.0472440944881890,0.25419105839353842273
NPM,docco,20567,3427,0.16662614868478630816,4113.4000000000000000,685.4000000000000000,0.16662614868478630816
NPM,crossvent,3333,5,0.00150015001500150015,3333.0000000000000000,5.0000000000000000,0.00150015001500150015
NPM,co-redis,3866,3145,0.81350232798758406622,1288.6666666666666667,1048.3333333333333333,0.81350232798758406617
NPM,google-auth-library,24521,3963,0.16161657354920272420,1226.0500000000000000,198.1500000000000000,0.16161657354920272420
NPM,fs-xattr,2227,13,0.00583744948361023799,1113.5000000000000000,6.5000000000000000,0.00583744948361023799
NPM,brcast,10,0,0.00000000000000000000,10.0000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,konan,5374,0,0.00000000000000000000,1343.5000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,@vtex/react-csv-parse,4636,4000,0.86281276962899050906,2318.0000000000000000,2000.0000000000000000,0.86281276962899050906
NPM,input-moment,10166,2525,0.24837694275034428487,2033.2000000000000000,505.0000000000000000,0.24837694275034428487
NPM,eslint-config-ember,6761,339,0.05014051175861558941,3380.5000000000000000,169.5000000000000000,0.05014051175861558941
NPM,csv-string,178,0,0.00000000000000000000,178.0000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,create-hash,16068,393,0.02445855115758028379,3213.6000000000000000,78.6000000000000000,0.02445855115758028379
NPM,coffee-reactify,11375,3671,0.32272527472527472527,2275.0000000000000000,734.2000000000000000,0.32272527472527472527
NPM,elm-oracle,405,0,0.00000000000000000000,202.5000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,fh-wfm-user,42662,26226,0.61473911209038488585,2844.1333333333333333,1748.4000000000000000,0.61473911209038488585
NPM,aframe,31904,13867,0.43464769307923771314,1329.3333333333333333,577.7916666666666667,0.43464769307923771318
NPM,@icetee/ftp,2861,2861,1.00000000000000000000,1430.5000000000000000,1430.5000000000000000,1.00000000000000000000
NPM,argos-cli,27578,11855,0.42987163681195155559,2121.3846153846153846,911.9230769230769231,0.42987163681195155560
NPM,ios-device-lib,5461,2229,0.40816700238051638894,1820.3333333333333333,743.0000000000000000,0.40816700238051638895
NPM,fbjs,22907,5174,0.22586982145195791679,1908.9166666666666667,431.1666666666666667,0.22586982145195791681
NPM,degit,4317,224,0.05188788510539726662,863.4000000000000000,44.8000000000000000,0.05188788510539726662
NPM,aws-lambda-multipart-parser,63,0,0.00000000000000000000,63.0000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,h264-profile-level-id,2214,0,0.00000000000000000000,1107.0000000000000000,0.00000000000000000000,0.00000000000000000000
NPM,hast-util-phrasing,12091,326,0.02696220329170457365,2418.2000000000000000,65.2000000000000000,0.02696220329170457365
