vul_id,pkg_name,vul_introduced,vul_fixed,repo_url
GHSA-crh6-fp67-6883,@xmldom/xmldom,0.9.0-beta.1,0.9.0-beta.4,https://github.com/xmldom/xmldom
GHSA-q52j-4q2q-hcj6,console-io,0,2.3.0,
GHSA-52qp-gwwh-qrg4,@scandipwa/magento-scripts,1.5.1,1.5.3,
GHSA-g4xp-36c3-f7mr,inert,0,1.1.1,
GHSA-grjp-4jmr-mjcw,express-xss-sanitizer,0,1.1.3,https://github.com/AhmedAdelFahim/express-xss-sanitizer
GHSA-mpjm-v997-c4h4,electron,0,11.5.0,https://github.com/electron/electron
GHSA-mpjm-v997-c4h4,electron,12.0.0,12.1.0,https://github.com/electron/electron
GHSA-mpjm-v997-c4h4,electron,13.0.0,13.3.0,https://github.com/electron/electron
GHSA-c6pw-q7f2-97hv,cordova-plugin-inappbrowser,0,3.1.0,
GHSA-pc5p-h8pf-mvwp,https-proxy-agent,0,2.2.3,
GHSA-4c7m-wxvm-r7gc,netmask,0,1.1.0,https://github.com/rs/node-netmask/
GHSA-779f-wgxg-qr8f,lodash.mergewith,0,4.6.2,
GHSA-28hp-fgcr-2r4h,angular,0,1.6.0,
GHSA-r659-8xfp-j327,objection,0,2.2.16,https://github.com/vincit/objection.js
GHSA-773h-w45w-f2f9,libxmljs,0,0.19.8,https://github.com/libxmljs/libxmljs
GHSA-6gww-qpm6-mc2g,ssrf-agent,0,1.0.5,https://github.com/welefen/ssrf-agent
GHSA-wj36-v8j4-pc7c,express-cart,0,1.1.6,
GHSA-vqmr-957g-r7w3,rendertron,0,1.1.0,https://github.com/GoogleChrome/rendertron
GHSA-82gw-pqf7-q3j2,pym.js,0.4.2,1.3.2,https://github.com/nprapps/pym.js
GHSA-j5p7-jf4q-742q,markdown-it,0,3.0.0,https://github.com/markdown-it/markdown-it
GHSA-r3x4-wr4h-pw33,safer-eval,0,1.3.4,
GHSA-mc7w-4cjf-c973,opencv,0,6.1.0,https://github.com/peterbraden/node-opencv/
GHSA-fw4p-36j9-rrj3,sequelize,0,4.44.4,
GHSA-m9hw-7xfv-wqg7,json-logic-js,0,2.0.0,
GHSA-9p47-w5xp-f4xr,windows-build-tools,0,1.0.0,
GHSA-hjp8-2cm3-cc45,requestretry,0,7.0.0,
GHSA-7mwh-4pqv-wmr8,scss-tokenizer,0,0.4.3,https://github.com/sasstools/scss-tokenizer
GHSA-hwcf-pp87-7x6p,ejs,0,2.5.5,https://github.com/mde/ejs
GHSA-66rh-8fw6-59q6,assign-deep,0,0.4.8,https://github.com/jonschlinkert/assign-deep
GHSA-66rh-8fw6-59q6,assign-deep,1.0.0,1.0.1,https://github.com/jonschlinkert/assign-deep
GHSA-h9wr-xr4r-66fh,dmn-js-properties-panel,0,0.3.0,
GHSA-h96f-fc7c-9r55,tinymce,0,5.6.0,
GHSA-mj46-r4gr-5x83,gatsby-plugin-mdx,0,2.14.1,https://github.com/gatsbyjs/gatsby
GHSA-mj46-r4gr-5x83,gatsby-plugin-mdx,3.0.0,3.15.2,https://github.com/gatsbyjs/gatsby
GHSA-f2rp-38vg-j3gh,shescape,0,1.1.3,
GHSA-h24f-9mm4-w336,crud-file-server,0,0.8.0,
GHSA-whv6-rj84-2vh2,nextcloud-vue-collections,0,0.4.2,https://github.com/juliushaertl/nextcloud-vue-collections
GHSA-xvf7-4v9q-58w6,jpeg-js,0,0.4.4,https://github.com/jpeg-js/jpeg-js
GHSA-crhg-xgrg-vvcc,@curveball/a12n-server,0.20.0,0.23.0,https://github.com/curveball/a12n-server
GHSA-4f6x-49g2-99fm,mermaid,0,8.11.0,
GHSA-jcw8-r9xm-32c6,dns-sync,0,0.1.1,
GHSA-4xf9-pgvv-xx67,simple-markdown,0,0.5.2,https://github.com/Khan/simple-markdown
GHSA-pj7m-g53m-7638,bootstrap,4.0.0,4.1.2,https://github.com/twbs/bootstrap
GHSA-pj7m-g53m-7638,bootstrap,0,3.4.0,https://github.com/twbs/bootstrap
GHSA-8whr-v3gm-w8h9,node-rules,0,5.0.0,https://github.com/mithunsatheesh/node-rules
GHSA-hrpp-f84w-xhfg,vue-moment,0,4.1.0,https://github.com/brockpetrie/vue-moment
GHSA-q9r2-f3vc-rjg8,macaddress,0,0.2.9,
GHSA-whrh-9j4q-g7ph,polaris-website,0,1.1.1,https://github.com/polaris-rbx/Polaris-React
GHSA-pp4v-55vr-9gxh,riot-compiler,0,2.3.22,
GHSA-7p8h-86p5-wv3p,mongo-express,0,1.0.0-alpha.4,
GHSA-9vvw-cc9w-f27h,debug,3.0.0,3.1.0,https://github.com/debug-js/debug
GHSA-9vvw-cc9w-f27h,debug,0,2.6.9,https://github.com/debug-js/debug
GHSA-4448-rc82-fcr7,serve-here.js,0,1.2.0,https://github.com/ChristoPy/serve-here.js
GHSA-3q6f-8grx-pr4v,jspdf,0,2.0.0,
GHSA-pjmx-9xr3-82qr,useragent,0,2.1.13,
GHSA-9p2w-rmx4-9mw7,strapi,0,3.0.0-beta.17.8,https://github.com/strapi/strapi
GHSA-8jjf-w7j6-323c,samlify,0,2.3.0,https://github.com/tngan/samlify
GHSA-49q3-8867-5wmp,reg-keygen-git-hash-plugin,0,0.10.16,
GHSA-wh69-wc6q-7888,dns-sync,0,0.2.1,https://github.com/skoranga/node-dns-sync
GHSA-884p-74jh-xrg2,tree-kill,0,1.2.2,
GHSA-97m3-w2cp-4xx6,node-ipc,10.1.1,10.1.3,https://github.com/RIAEvangelist/node-ipc
GHSA-9pgh-qqpf-7wqj,@xmldom/xmldom,0.8.0,0.8.3,https://github.com/xmldom/xmldom
GHSA-9pgh-qqpf-7wqj,@xmldom/xmldom,0.9.0-beta.1,0.9.0-beta.2,https://github.com/xmldom/xmldom
GHSA-9pgh-qqpf-7wqj,@xmldom/xmldom,0,0.7.6,https://github.com/xmldom/xmldom
GHSA-r9q4-w3fm-wrm2,google-closure-library,0,20190301.0.0,https://github.com/google/closure-library
GHSA-hxwm-x553-x359,@npmcli/git,0,2.0.8,
GHSA-c427-hjc3-wrfw,swagger-ui,0,3.23.11,https://github.com/swagger-api/swagger-ui
GHSA-xw6g-jjvf-wwf9,parse-server,0,4.10.12,https://github.com/parse-community/parse-server
GHSA-xw6g-jjvf-wwf9,parse-server,5.0.0,5.2.3,https://github.com/parse-community/parse-server
GHSA-3xgx-r9j4-qw9w,dexie,0,3.2.2,https://github.com/dexie/Dexie.js
GHSA-3xgx-r9j4-qw9w,dexie,4.0.0-alpha.1,4.0.0-alpha.3,https://github.com/dexie/Dexie.js
GHSA-w8xh-93qh-35vw,payload,0,0.15.1,https://github.com/payloadcms/payload
GHSA-4p24-vmcr-4gqj,bootstrap,3.0.0,3.4.0,https://github.com/twbs/bootstrap
GHSA-xm28-fw2x-fqv2,foreman,0,3.0.1,
GHSA-7249-8x22-4rg4,nadesiko3,0,3.3.75,https://github.com/kujirahand/nadesiko3
GHSA-w4v7-hwx7-9929,tempura,0,0.4.0,https://github.com/lukeed/tempura
GHSA-7xfq-xh6v-4mrm,json-serializer,2.0.10,2.0.11,
GHSA-p9pc-299p-vxgp,yargs-parser,6.0.0,13.1.2,https://github.com/yargs/yargs-parser
GHSA-p9pc-299p-vxgp,yargs-parser,14.0.0,15.0.1,https://github.com/yargs/yargs-parser
GHSA-p9pc-299p-vxgp,yargs-parser,16.0.0,18.1.1,https://github.com/yargs/yargs-parser
GHSA-p9pc-299p-vxgp,yargs-parser,0,5.0.1,https://github.com/yargs/yargs-parser
GHSA-84fv-prrc-5ggr,call,2.0.1,3.0.2,
GHSA-gpvr-g6gh-9mc2,express,0,3.11.0,
GHSA-gpvr-g6gh-9mc2,express,4.0.0,4.5.0,
GHSA-6677-83pp-f862,@nuxt/devalue,0,1.2.3,
GHSA-2p3c-p3qw-69r4,apollo-server,2.0.0,2.25.4,https://github.com/apollographql/apollo-server
GHSA-vjfr-p6hp-jqqw,ungit,0,0.9.0,https://github.com/FredrikNoren/ungit
GHSA-xfrc-7mj2-5xh9,zencashjs,0,1.2.0,
GHSA-mw35-24gh-f82w,keycloak-connect,2.5.0,3.1.0,
GHSA-mw35-24gh-f82w,keycloak-js,2.5.0,3.1.0,
GHSA-5p98-wpc9-g498,html-pdf-chrome,0,0.6.1,https://github.com/westy92/html-pdf-chrome
GHSA-cmr8-5w4c-44v8,@fastly/js-compute,0.4.0,0.5.3,https://github.com/fastly/js-compute-runtime
GHSA-fxwf-4rqh-v8g3,socket.io,0,2.4.0,
GHSA-jff2-qjw8-5476,systeminformation,0,5.6.4,
GHSA-5955-9wpr-37jh,tar,0,4.4.18,https://github.com/npm/node-tar
GHSA-5955-9wpr-37jh,tar,5.0.0,5.0.10,https://github.com/npm/node-tar
GHSA-5955-9wpr-37jh,tar,6.0.0,6.1.9,https://github.com/npm/node-tar
GHSA-qh2h-chj9-jffq,growl,0,1.10.0,https://github.com/tj/node-growl
GHSA-446w-rrm4-r47f,shescape,1.4.0,1.5.1,https://github.com/ericcornelissen/shescape
GHSA-jrj9-5qp6-2v8q,airtable,0.1.19,0.7.2,
GHSA-552w-rqg8-gxxm,validator,0,1.1.0,
GHSA-5726-g6r9-5f22,syntax-error,0,1.1.1,https://github.com/substack/node-syntax-error
GHSA-x5r6-x823-9848,json-ptr,0,2.1.0,
GHSA-h6ch-v84p-w6p9,diff,0,3.5.0,
GHSA-fwr7-v2mv-hh25,async,3.0.0,3.2.2,https://github.com/caolan/async
GHSA-fwr7-v2mv-hh25,async,2.0.0,2.6.4,https://github.com/caolan/async
