system_name,from_package_name,total_duration,total_post_fix_exposure_time,ratio,avg_total_duration,avg_post_fix_exposure_time,avg_ratio
CARGO,ahrs,826,247,0.29903147699757869249,826.0000000000000000,247.0000000000000000,0.29903147699757869249
CARGO,alloc_geiger,1534,1516,0.98826597131681877445,1534.0000000000000000,1516.0000000000000000,0.98826597131681877445
CARGO,almel,1682,9,0.00535077288941736029,1682.0000000000000000,9.0000000000000000,0.00535077288941736029
CARGO,amp,1637,375,0.22907758094074526573,1637.0000000000000000,375.0000000000000000,0.22907758094074526573
CARGO,broot,1571,563,0.35837046467218332272,1571.0000000000000000,563.0000000000000000,0.35837046467218332272
CARGO,cargo-benchcmp,2871,50,0.01741553465691396726,2871.0000000000000000,50.0000000000000000,0.01741553465691396726
CARGO,cargo-rdme,585,12,0.02051282051282051282,585.0000000000000000,12.0000000000000000,0.02051282051282051282
CARGO,cargo-semver-checks,394,12,0.03045685279187817259,394.0000000000000000,12.0000000000000000,0.03045685279187817259
CARGO,casper-client,412,374,0.90776699029126213592,412.0000000000000000,374.0000000000000000,0.90776699029126213592
CARGO,challenge-bypass-ristretto,961,1,0.00104058272632674298,961.0000000000000000,1.00000000000000000000,0.00104058272632674298
CARGO,committed,1767,43,0.02433503112620260328,1767.0000000000000000,43.0000000000000000,0.02433503112620260328
CARGO,constellation-server,2266,414,0.18270079435127978817,2266.0000000000000000,414.0000000000000000,0.18270079435127978817
CARGO,conventional_commits_linter,1341,84,0.06263982102908277405,1341.0000000000000000,84.0000000000000000,0.06263982102908277405
CARGO,conventional_commits_next_version,1340,308,0.22985074626865671642,1340.0000000000000000,308.0000000000000000,0.22985074626865671642
CARGO,crates-index,623,12,0.01926163723916532905,623.0000000000000000,12.0000000000000000,0.01926163723916532905
CARGO,em-app,1499,1128,0.75250166777851901268,1499.0000000000000000,1128.0000000000000000,0.75250166777851901268
CARGO,fancy-prompt,1226,74,0.06035889070146818923,1226.0000000000000000,74.0000000000000000,0.06035889070146818923
CARGO,fdt-rs,1536,1238,0.80598958333333333333,1536.0000000000000000,1238.0000000000000000,0.80598958333333333333
CARGO,femtovg,1385,31,0.02238267148014440433,1385.0000000000000000,31.0000000000000000,0.02238267148014440433
CARGO,garbage,964,516,0.53526970954356846473,964.0000000000000000,516.0000000000000000,0.53526970954356846473
CARGO,geckodriver,2095,274,0.13078758949880668258,2095.0000000000000000,274.0000000000000000,0.13078758949880668258
CARGO,gfold,563,26,0.04618117229129662522,563.0000000000000000,26.0000000000000000,0.04618117229129662522
CARGO,git-absorb,2078,84,0.04042348411934552454,2078.0000000000000000,84.0000000000000000,0.04042348411934552454
CARGO,git-branchless-lib,858,50,0.05827505827505827506,858.0000000000000000,50.0000000000000000,0.05827505827505827506
CARGO,git-cliff-core,725,9,0.01241379310344827586,725.0000000000000000,9.0000000000000000,0.01241379310344827586
CARGO,git-delta,1475,141,0.09559322033898305085,1475.0000000000000000,141.0000000000000000,0.09559322033898305085
CARGO,git-global,2720,118,0.04338235294117647059,2720.0000000000000000,118.0000000000000000,0.04338235294117647059
CARGO,git-gone,1508,81,0.05371352785145888594,1508.0000000000000000,81.0000000000000000,0.05371352785145888594
CARGO,git-req,1608,94,0.05845771144278606965,1608.0000000000000000,94.0000000000000000,0.05845771144278606965
CARGO,git-warp-time,1211,1,0.00082576383154417836,1211.0000000000000000,1.00000000000000000000,0.00082576383154417836
CARGO,git-workspace,574,52,0.09059233449477351916,574.0000000000000000,52.0000000000000000,0.09059233449477351916
CARGO,git2-ext,879,19,0.02161547212741751991,879.0000000000000000,19.0000000000000000,0.02161547212741751991
CARGO,git2_credentials,1683,32,0.01901366607248960190,1683.0000000000000000,32.0000000000000000,0.01901366607248960190
CARGO,gitpatcher,1517,138,0.09096901779828609097,1517.0000000000000000,138.0000000000000000,0.09096901779828609097
CARGO,gitpatcher-bin,1517,138,0.09096901779828609097,1517.0000000000000000,138.0000000000000000,0.09096901779828609097
CARGO,glassbench,1223,575,0.47015535568274734260,1223.0000000000000000,575.0000000000000000,0.47015535568274734260
CARGO,gpgme,159,96,0.60377358490566037736,159.0000000000000000,96.0000000000000000,0.60377358490566037736
CARGO,hyper_serde,2905,198,0.06815834767641996558,2905.0000000000000000,198.0000000000000000,0.06815834767641996558
CARGO,ibc,686,28,0.04081632653061224490,343.0000000000000000,14.0000000000000000,0.04081632653061224490
CARGO,igd,1283,79,0.06157443491816056118,1283.0000000000000000,79.0000000000000000,0.06157443491816056118
CARGO,in-toto,1532,62,0.04046997389033942559,1532.0000000000000000,62.0000000000000000,0.04046997389033942559
CARGO,jsonrpc,911,110,0.12074643249176728869,911.0000000000000000,110.0000000000000000,0.12074643249176728869
CARGO,knope,704,6,0.00852272727272727273,704.0000000000000000,6.0000000000000000,0.00852272727272727273
CARGO,ledger-zcash,1338,515,0.38490284005979073244,1338.0000000000000000,515.0000000000000000,0.38490284005979073244
CARGO,lemmy_utils,669,85,0.12705530642750373692,669.0000000000000000,85.0000000000000000,0.12705530642750373692
CARGO,levenberg-marquardt,1662,25,0.01504211793020457280,1662.0000000000000000,25.0000000000000000,0.01504211793020457280
CARGO,libp2p-quic,861,435,0.50522648083623693380,861.0000000000000000,435.0000000000000000,0.50522648083623693380
CARGO,libp2p-webrtc,1052,793,0.75380228136882129278,1052.0000000000000000,793.0000000000000000,0.75380228136882129278
CARGO,little-stomper,1177,331,0.28122344944774851317,1177.0000000000000000,331.0000000000000000,0.28122344944774851317
